Registrado,Línea,Texto breve de material,Ctd.total reg.,    Valor var.
2021-02,Pintado 2 UNI,1129-BLANCO GRIS G9073 ROHS,975.0,6288.75
2021-02,Pintado 2 UNI,1174-WHITE 800043 RF,65.0,474.5
2021-02,Pintado 2 UNI,1431-GRIS 356 TEXT.,110.0,925.1
2021-02,Pintado 2 UNI,1492-GRIS KB LAV,238.5,2265.76
2021-02,Pintado 2 UNI,50 GLOSS APPLIANCE CLEAR,737.0509999999999,4201.19
2021-02,Pintado 2 UNI,BLACK PRIMER ROHS,130.0,1106.3
2021-02,Pintado 2 UNI,BLANCO 15 II MOD.,2023.715,12162.500000000002
2021-02,Pintado 2 UNI,CHROME FREE POLYURETANE PRIMER,777.5,9330.0
2021-02,Pintado 2 UNI,CLEAR LAUNDRY BACKER,2151.0,11895.0
2021-02,Pintado 2 UNI,HIGH BUILT PRIMER,715.0,4869.15
2021-02,Pintado 2 UNI,PRIMARIO  4041,593.0,5022.71
2021-02,Pintado 2 UNI,WHITE KRYSTAL KOTE,450.0,4482.0
2021-03,Pintado 1 UNI,0001-PRIMER 4457,17650.0,96898.5
2021-03,Pintado 1 UNI,0021-UNIVERSAL PRIMER,944.0,6475.88
2021-03,Pintado 1 UNI,0023-CLEAR EPOXICO P/ESPUMA,5038.0,23607.170000000002
2021-03,Pintado 1 UNI,0025-CLEAR EPOXY (WASH COAT),60.0,219.6
2021-03,Pintado 1 UNI,0027-80 GLOSS CLEAR BACKER II,820.0,4674.0
2021-03,Pintado 1 UNI,0028-CLEAR P/ESPUMA,8784.96,35953.04
2021-03,Pintado 1 UNI,0036-BACK PRIMER,755.0,6319.35
2021-03,Pintado 1 UNI,0038-PRIMER 917,1326.25,8434.95
2021-03,Pintado 1 UNI,0043-PRIMARIO NEGRO 4866,92.0,749.8
2021-03,Pintado 1 UNI,0051-80 GLOSS CLEAR BACKER.,3075.0,17527.5
2021-03,Pintado 1 UNI,0054-CLEAR KRYSTAL KOTE,11013.0,109028.7
2021-03,Pintado 1 UNI,0079-BECKRYPRIM 246,6295.0,34937.25
2021-03,Pintado 1 UNI,0088-CLEAR TOP PIZZA,147.895,1471.56
2021-03,Pintado 1 UNI,0090-PRIMER 60000,14.25,95.48
2021-03,Pintado 1 UNI,0093-50 GLOSS CLEAR ONE PASS,289.25,3994.54
2021-03,Pintado 1 UNI,0102-BLANCO STD,9713.0,45840.69
2021-03,Pintado 1 UNI,0105-RANGE WHITE,110.0,744.7
2021-03,Pintado 1 UNI,0121-BLANCO STD KYNAR,160.0,2500.8
2021-03,Pintado 1 UNI,0139-NEW PRIME WHITE,1705.0,13827.55
2021-03,Pintado 1 UNI,0145-BLANCO COOL ROOF 75,200.0,1780.0
2021-03,Pintado 1 UNI,0151-BLANCO FRIO,4151.0,25279.59
2021-03,Pintado 1 UNI,0159-DURAPLUS BCO COOL ROOF 75,430.0,3384.1
2021-03,Pintado 1 UNI,0173-BLANCO SM,665.0,3192.0
2021-03,Pintado 1 UNI,0174-BLANCO STD USDA,1230.0,6014.7
2021-03,Pintado 1 UNI,0202-AZUL REY,228.0,1769.28
2021-03,Pintado 1 UNI,0264-GALLERY BLUE RM POLY,535.0,4306.75
2021-03,Pintado 1 UNI,0394-COPPER PENNY RM SP,400.0,5368.0
2021-03,Pintado 1 UNI,0400-GRIS FONDO,5791.487,26845.74
2021-03,Pintado 1 UNI,0401-RANGE GRAY,188.517,1459.13
2021-03,Pintado 1 UNI,0404-GRIS FONDO MC,720.0,3722.4
2021-03,Pintado 1 UNI,0405-TAUPE METALLIC,1450.0,16037.0
2021-03,Pintado 1 UNI,0406-SILVER POLY,30.0,475.2
2021-03,Pintado 1 UNI,0407-COOL GRAY ICP,660.0,4936.8
2021-03,Pintado 1 UNI,0421-APOLLO GREY REF,2749.5,17211.940000000002
2021-03,Pintado 1 UNI,0422-BACKER 0507 CR,2235.0,16494.3
2021-03,Pintado 1 UNI,0435-APOLLO GRAY KRYSTAL KOTE,10780.0,105320.6
2021-03,Pintado 1 UNI,0439-PRIVATE LABEL GRAY TEXT,1084.0,13148.92
2021-03,Pintado 1 UNI,0440-BALTIC GRAY HVAC,1088.0,8105.6
2021-03,Pintado 1 UNI,0443-PRIVATE LABEL GRAY,3365.0,35870.9
2021-03,Pintado 1 UNI,0446-WARM DARK GRAY SMOOTH,13690.0,118867.9
2021-03,Pintado 1 UNI,0466-SLATE GRAY HVAC TEXT,580.0,5225.8
2021-03,Pintado 1 UNI,0498-GRIS FONDO 70 GLOSS,329.25,2930.33
2021-03,Pintado 1 UNI,0521-NEGRO MM MITSUI.,786.25,5110.650000000001
2021-03,Pintado 1 UNI,0524-BLACK KRYSTAL KOTE,40.0,386.4
2021-03,Pintado 1 UNI,0543-BLACK METALLIC,189.25,2431.86
2021-03,Pintado 1 UNI,0545-NEGRO MANDM,55.0,484.54999999999995
2021-03,Pintado 1 UNI,0558-BLACK ECOPRINT,105.0,1386.0
2021-03,Pintado 1 UNI,0601-VERDE PRIMSA,4475.0,16463.5
2021-03,Pintado 1 UNI,0700-ARENA STD,3100.0,15376.0
2021-03,Pintado 1 UNI,0718-SANDPIPER BEIGE,780.0,6411.6
2021-03,Pintado 1 UNI,0730-ARENA STD USDA,1697.0,9783.25
2021-03,Pintado 1 UNI,0786-CAOBA MADERA EXT SILIC,130.0,1261.0
2021-03,Pintado 1 UNI,0928-BURGUNDY PIZZA,89.25,1905.49
2021-03,Pintado 1 UNI,0931-ROJO PERFILES,2231.0,13118.28
2021-03,Pintado 1 UNI,0936-ROJO WRINKLED CR,3095.0,25812.3
2021-03,Pintado 1 UNI,0944-LIBERTY RED PANT 2035C,530.0,5247.0
2021-03,Pintado 1 UNI,1013-DYNAPRIME 2821,55.0,368.5
2021-03,Pintado 1 UNI,1030-PRIMER 4494,350.0,3269.0
2021-03,Pintado 1 UNI,1045-CLEAR COAT WOOD SILIC,270.0,2578.5
2021-03,Pintado 1 UNI,1046-CLEAR PRINT INOX HG,50.0,350.0
2021-03,Pintado 1 UNI,1047-TINTA NEGRA SILIC,20.0,169.0
2021-03,Pintado 1 UNI,1456-GRIS CLARO RC,515.0,3244.5
2021-03,Pintado 1 UNI,1463-ALUMINIO RAL 9006 CR FC,154.25,5244.5
2021-03,Pintado 1 UNI,1487-AMERICAN STERLING III,3975.0,31283.25
2021-03,Pintado 1 UNI,BECKRYPRIM 243,950.0,5462.5
2021-03,Pintado 1 UNI,BLANCO STD KYNAR,2196.0,33818.4
2021-03,Pintado 1 UNI,HIGH BUILT PRIMER,320.0,2179.2
2021-03,Pintado 1 UNI,PRIMARIO  4041,200.0,1694.0
2021-03,Pintado 1 UNI,PRIMARIO 4435,505.0,3024.95
2021-03,Pintado 1 UNI,PRIMARIO 4464,40.0,339.6
2021-03,Pintado 1 UNI,ROJO JANITZIO BB,1750.0,10762.5
2021-03,Pintado 1 UNI,WHITE KRYSTAL KOTE,5100.0,50796.0
2021-03,Pintado 2 UNI,0001-PRIMER 4457,5170.0,28383.3
2021-03,Pintado 2 UNI,0021-UNIVERSAL PRIMER,6166.0,42298.92
2021-03,Pintado 2 UNI,0023-CLEAR EPOXICO P/ESPUMA,2603.5,11475.34
2021-03,Pintado 2 UNI,0028-CLEAR P/ESPUMA,12401.0,47614.24
2021-03,Pintado 2 UNI,0029-CLEAR INOXIDABLE,2300.0,20792.0
2021-03,Pintado 2 UNI,0034-CLEAR AZUL P/ESPUMA,160.0,662.4
2021-03,Pintado 2 UNI,0036-BACK PRIMER,540.0,4519.8
2021-03,Pintado 2 UNI,0038-PRIMER 917,937.0,5959.32
2021-03,Pintado 2 UNI,0039-CR FREE POLYURETAN PRIMER,550.0,5258.0
2021-03,Pintado 2 UNI,0043-PRIMARIO NEGRO 4866,2958.0,24107.7
2021-03,Pintado 2 UNI,0054-CLEAR KRYSTAL KOTE,4672.0,46252.8
2021-03,Pintado 2 UNI,0066-SUPER HIGH GLOSS CLEAR II,670.0,6706.7
2021-03,Pintado 2 UNI,0068-APPLIANCE 10 GLOSS CLEAR,779.4300000000001,6235.4400000000005
2021-03,Pintado 2 UNI,0075-CLEAR LAUNDRY BACKER ROHS,1324.75,7418.599999999999
2021-03,Pintado 2 UNI,0079-BECKRYPRIM 246,1765.0,9795.75
2021-03,Pintado 2 UNI,0092-80 GLOSS CLEAR LAV,288.5,3000.4
2021-03,Pintado 2 UNI,0099-CLEAR P/ESPUMA ROHS,1540.0,7561.4
2021-03,Pintado 2 UNI,0102-BLANCO STD,10369.045,51971.97
2021-03,Pintado 2 UNI,0104-BLANCO SUPERMATIC,17492.408,101911.83
2021-03,Pintado 2 UNI,0106-BLANCO CONFAD,4588.075,38126.96
2021-03,Pintado 2 UNI,0114-BLANCO QL,140.0,1180.2
2021-03,Pintado 2 UNI,0139-NEW PRIME WHITE,1725.0,13989.75
2021-03,Pintado 2 UNI,0144-WHITE POLYESTER ROHS,2400.0,17208.0
2021-03,Pintado 2 UNI,0173-BLANCO SM,1870.0,8976.0
2021-03,Pintado 2 UNI,0174-BLANCO STD USDA,955.0,5032.85
2021-03,Pintado 2 UNI,0193-WHITE 12H2427 LAV ROHS,6070.127,44979.59
2021-03,Pintado 2 UNI,0318-TOPAZ METALLIC 14H2593,412.75,7388.24
2021-03,Pintado 2 UNI,0400-GRIS FONDO,2530.75,11802.7
2021-03,Pintado 2 UNI,0404-GRIS FONDO MC,1915.0,9900.55
2021-03,Pintado 2 UNI,0433-PLATA 89,1195.568,12075.26
2021-03,Pintado 2 UNI,0435-APOLLO GRAY KRYSTAL KOTE,2800.0,27356.0
2021-03,Pintado 2 UNI,0488-DIAMOND GRAY LAV,189.25,4371.68
2021-03,Pintado 2 UNI,0505-NEGRO SUPERMATIC,7418.33,46405.88
2021-03,Pintado 2 UNI,0517-BLACK POLYESTER ROHS,3380.0,24099.4
2021-03,Pintado 2 UNI,0524-BLACK KRYSTAL KOTE,1060.0,10239.6
2021-03,Pintado 2 UNI,0526-BLACK REF SAB,1500.0,14010.0
2021-03,Pintado 2 UNI,0529-BLACK QUANTUM SAB II,982.0,9201.34
2021-03,Pintado 2 UNI,0601-VERDE PRIMSA,6290.0,23038.2
2021-03,Pintado 2 UNI,0664-AQUA KB LAV,139.25,1684.93
2021-03,Pintado 2 UNI,0700-ARENA STD,800.0,3968.0
2021-03,Pintado 2 UNI,0730-ARENA STD USDA,625.0,3632.25
2021-03,Pintado 2 UNI,1005-COIL PRIMER ROHS,965.0,7691.05
2021-03,Pintado 2 UNI,1028-CLEAR BLUE EPOXY,1580.0,9606.4
2021-03,Pintado 2 UNI,1031-BECKRYPRIM 235 NEGRO,90.0,545.4
2021-03,Pintado 2 UNI,1128-BLANCO PURO G9010 ROHS,4505.0,27795.85
2021-03,Pintado 2 UNI,1129-BLANCO GRIS G9073 ROHS,300.0,1935.0
2021-03,Pintado 2 UNI,1431-GRIS 356 TEXT.,310.0,2607.1
2021-03,Pintado 2 UNI,1492-GRIS KB LAV,230.0,2185.0
2021-03,Pintado 2 UNI,50 GLOSS APPLIANCE CLEAR,1883.267,10734.66
2021-03,Pintado 2 UNI,BISQUE KRYSTAL KOTE,650.0,6740.5
2021-03,Pintado 2 UNI,BLACK PRIMER ROHS,680.0,5786.8
2021-03,Pintado 2 UNI,BLANCO QUANTUM SAB,935.0,8854.45
2021-03,Pintado 2 UNI,BLANCO QUANTUM SAB ROHS,250.0,2340.0
2021-03,Pintado 2 UNI,CHROME FREE POLYURETANE PRIMER,2629.5,31554.0
2021-03,Pintado 2 UNI,CLEAR LAUNDRY BACKER,1066.25,5896.35
2021-03,Pintado 2 UNI,HIGH BUILT PRIMER,-200.0,-1362.0
2021-03,Pintado 2 UNI,SUPER HIGH GLOSS CLEAR,543.0,5397.42
2021-03,Pintado 2 UNI,UNIVERSAL SILVER CLEAR TOP,89.25,611.36
2021-03,Pintado 2 UNI,UNIVERSAL SILVER ROHS,80.0,840.0
2021-03,Pintado 2 UNI,WHITE KRYSTAL KOTE,2120.0,21115.2
2021-04,Pintado 1 UNI,0001-PRIMER 4457,20265.0,111254.85
2021-04,Pintado 1 UNI,0021-UNIVERSAL PRIMER,38.5,264.12
2021-04,Pintado 1 UNI,0023-CLEAR EPOXICO P/ESPUMA,6557.5,27534.48
2021-04,Pintado 1 UNI,0025-CLEAR EPOXY (WASH COAT),95.0,347.7
2021-04,Pintado 1 UNI,0027-80 GLOSS CLEAR BACKER II,760.0,4332.0
2021-04,Pintado 1 UNI,0028-CLEAR P/ESPUMA,3425.0,14120.6
2021-04,Pintado 1 UNI,0036-BACK PRIMER,2394.25,20039.87
2021-04,Pintado 1 UNI,0038-PRIMER 917,815.5,5186.58
2021-04,Pintado 1 UNI,0043-PRIMARIO NEGRO 4866,75.0,611.25
2021-04,Pintado 1 UNI,0045-PRIMARIO 4471,85.0,770.95
2021-04,Pintado 1 UNI,0051-80 GLOSS CLEAR BACKER.,180.0,1026.0
2021-04,Pintado 1 UNI,0054-CLEAR KRYSTAL KOTE,5114.0,50628.6
2021-04,Pintado 1 UNI,0063-CLEAR KYNAR UV,94.25,1912.33
2021-04,Pintado 1 UNI,0079-BECKRYPRIM 246,4755.0,26390.25
2021-04,Pintado 1 UNI,0093-50 GLOSS CLEAR ONE PASS,135.465,1870.77
2021-04,Pintado 1 UNI,0102-BLANCO STD,13905.0,63733.65
2021-04,Pintado 1 UNI,0110-DURAPLUS BLANCO STD,200.0,1074.0
2021-04,Pintado 1 UNI,0139-NEW PRIME WHITE,4395.0,35643.45
2021-04,Pintado 1 UNI,0145-BLANCO COOL ROOF 75,1388.0,12353.2
2021-04,Pintado 1 UNI,0159-DURAPLUS BCO COOL ROOF 75,200.0,1574.0
2021-04,Pintado 1 UNI,0173-BLANCO SM,4198.0,20150.4
2021-04,Pintado 1 UNI,0174-BLANCO STD USDA,3090.0,16284.3
2021-04,Pintado 1 UNI,0202-AZUL REY,200.0,1552.0
2021-04,Pintado 1 UNI,0264-GALLERY BLUE RM POLY,265.0,2133.25
2021-04,Pintado 1 UNI,0309-CAFE MOCHA,124.25,1130.68
2021-04,Pintado 1 UNI,0400-GRIS FONDO,7035.0,31866.5
2021-04,Pintado 1 UNI,0401-RANGE GRAY,369.25,2858.0
2021-04,Pintado 1 UNI,0404-GRIS FONDO MC,4523.0,23383.91
2021-04,Pintado 1 UNI,0405-TAUPE METALLIC,600.0,6636.0
2021-04,Pintado 1 UNI,0407-COOL GRAY ICP,590.0,4413.2
2021-04,Pintado 1 UNI,0421-APOLLO GREY REF,477.0,2986.04
2021-04,Pintado 1 UNI,0422-BACKER 0507 CR,3810.0,28117.8
2021-04,Pintado 1 UNI,0435-APOLLO GRAY KRYSTAL KOTE,4990.0,48752.3
2021-04,Pintado 1 UNI,0439-PRIVATE LABEL GRAY TEXT,1415.0,17163.95
2021-04,Pintado 1 UNI,0440-BALTIC GRAY HVAC,2310.0,17209.5
2021-04,Pintado 1 UNI,0443-PRIVATE LABEL GRAY,2640.0,28142.4
2021-04,Pintado 1 UNI,0446-WARM DARK GRAY SMOOTH,1875.0,16275.0
2021-04,Pintado 1 UNI,0447-WARM DARK GRAY TEXT.,45.0,416.7
2021-04,Pintado 1 UNI,0466-SLATE GRAY HVAC TEXT,475.0,4279.75
2021-04,Pintado 1 UNI,0467-WDG SMOOTH 0T,220.0,2094.4
2021-04,Pintado 1 UNI,0498-GRIS FONDO 70 GLOSS,105.0,934.5
2021-04,Pintado 1 UNI,0543-BLACK METALLIC,109.25,1403.86
2021-04,Pintado 1 UNI,0545-NEGRO MANDM,295.0,2598.95
2021-04,Pintado 1 UNI,0601-VERDE PRIMSA,4655.0,17223.9
2021-04,Pintado 1 UNI,0665-HUNTER GREEN RM POLY,145.0,1152.75
2021-04,Pintado 1 UNI,0700-ARENA STD,4650.0,21823.8
2021-04,Pintado 1 UNI,0730-ARENA STD USDA,250.0,1537.5
2021-04,Pintado 1 UNI,0901-ROJO STD,610.0,3660.0
2021-04,Pintado 1 UNI,0919-ROJO TERNIUM CR,75.465,2867.67
2021-04,Pintado 1 UNI,0936-ROJO WRINKLED CR,400.0,3336.0
2021-04,Pintado 1 UNI,0944-LIBERTY RED PANT 2035C,145.0,1435.5
2021-04,Pintado 1 UNI,0996-BURGUNDY RM POLY,520.0,4794.4
2021-04,Pintado 1 UNI,0997-VINO RM POLY,800.0,7568.0
2021-04,Pintado 1 UNI,1005-COIL PRIMER ROHS,200.0,1594.0
2021-04,Pintado 1 UNI,1025 - 60 GLOSS CLEAR BACKER,15.0,83.55
2021-04,Pintado 1 UNI,1026-CLEAR PRINT INOX,105.0,865.2
2021-04,Pintado 1 UNI,1030-PRIMER 4494,145.0,1354.3
2021-04,Pintado 1 UNI,1145-BLANCO TERNIUM CR,213.5,3924.1400000000003
2021-04,Pintado 1 UNI,1152-BLANCO TERNIUM CR TOP,225.93,4157.11
2021-04,Pintado 1 UNI,1418-PRINTING SILVER INOX,200.0,2784.0
2021-04,Pintado 1 UNI,1456-GRIS CLARO RC,297.0,1871.1
2021-04,Pintado 1 UNI,1487-AMERICAN STERLING III,8179.0,64368.73
2021-04,Pintado 1 UNI,1489-IRON ORE GRAY,325.0,2821.0
2021-04,Pintado 1 UNI,1490-IRON ORE GRAY TXT,200.0,1852.0
2021-04,Pintado 1 UNI,BECKRYPRIM 243,140.0,805.0
2021-04,Pintado 1 UNI,BLANCO STD KYNAR,2022.5,31146.5
2021-04,Pintado 1 UNI,BROWN T413 SILIC.,408.5,4085.0
2021-04,Pintado 1 UNI,HIGH BUILT PRIMER,390.0,2655.9
2021-04,Pintado 1 UNI,PRIMARIO  4041,930.0,7877.099999999999
2021-04,Pintado 1 UNI,PRIMARIO 4435,160.0,958.4000000000001
2021-04,Pintado 1 UNI,ROJO JANITZIO BB,220.0,1353.0
2021-04,Pintado 1 UNI,SAND TEXTURED,100.0,980.0
2021-04,Pintado 1 UNI,VERDE STD SILIC,428.517,5077.92
2021-04,Pintado 1 UNI,WHITE KRYSTAL KOTE,2901.0,28893.96
2021-04,Pintado 2 UNI,0001-PRIMER 4457,5688.0,31227.12
2021-04,Pintado 2 UNI,0021-UNIVERSAL PRIMER,9227.75,63302.58
2021-04,Pintado 2 UNI,0023-CLEAR EPOXICO P/ESPUMA,7670.0,31830.5
2021-04,Pintado 2 UNI,0028-CLEAR P/ESPUMA,5544.98,22512.22
2021-04,Pintado 2 UNI,0029-CLEAR INOXIDABLE,784.0,7087.36
2021-04,Pintado 2 UNI,0034-CLEAR AZUL P/ESPUMA,170.0,703.8
2021-04,Pintado 2 UNI,0036-BACK PRIMER,80.0,669.6
2021-04,Pintado 2 UNI,0039-CR FREE POLYURETAN PRIMER,200.0,1912.0
2021-04,Pintado 2 UNI,0043-PRIMARIO NEGRO 4866,493.0,4017.95
2021-04,Pintado 2 UNI,0054-CLEAR KRYSTAL KOTE,3446.0,34115.4
2021-04,Pintado 2 UNI,0061-APPLIANCE 30 GLOSS CLEAR,208.5,1344.8300000000002
2021-04,Pintado 2 UNI,0075-CLEAR LAUNDRY BACKER ROHS,129.25,723.8
2021-04,Pintado 2 UNI,0079-BECKRYPRIM 246,3635.0,20174.25
2021-04,Pintado 2 UNI,0092-80 GLOSS CLEAR LAV,1255.5,13057.2
2021-04,Pintado 2 UNI,0097-CLEAR APPLIANCE BACKER MC,4837.0,33375.409999999996
2021-04,Pintado 2 UNI,0099-CLEAR P/ESPUMA ROHS,4872.0,23921.52
2021-04,Pintado 2 UNI,0102-BLANCO STD,25065.0,115445.85
2021-04,Pintado 2 UNI,0104-BLANCO SUPERMATIC,8279.0,47201.54
2021-04,Pintado 2 UNI,0106-BLANCO CONFAD,8703.265,72324.25
2021-04,Pintado 2 UNI,0139-NEW PRIME WHITE,305.0,2473.55
2021-04,Pintado 2 UNI,0144-WHITE POLYESTER ROHS,200.0,1434.0
2021-04,Pintado 2 UNI,0147-BLANCO 15 II MOD ROHS,520.0,4321.2
2021-04,Pintado 2 UNI,0151-BLANCO FRIO,1585.0,9652.65
2021-04,Pintado 2 UNI,0173-BLANCO SM,460.0,2208.0
2021-04,Pintado 2 UNI,0174-BLANCO STD USDA,620.0,3267.4
2021-04,Pintado 2 UNI,0177-WHITE 800043 LAUNDRY,8675.534,74609.59999999999
2021-04,Pintado 2 UNI,0193-WHITE 12H2427 LAV ROHS,472.75,3503.0699999999997
2021-04,Pintado 2 UNI,0195-NEAT WHITE LAV ROHS,99.0,2798.62
2021-04,Pintado 2 UNI,0400-GRIS FONDO,4150.0,19015.0
2021-04,Pintado 2 UNI,0404-GRIS FONDO MC,467.0,2414.39
2021-04,Pintado 2 UNI,0433-PLATA 89,189.25,1911.43
2021-04,Pintado 2 UNI,0435-APOLLO GRAY KRYSTAL KOTE,4510.0,44062.7
2021-04,Pintado 2 UNI,0463-GUN METAL GRAY,362.5,3661.26
2021-04,Pintado 2 UNI,0488-DIAMOND GRAY LAV,544.15,12569.86
2021-04,Pintado 2 UNI,0504-BLACK QL,272.0,2135.2
2021-04,Pintado 2 UNI,0505-NEGRO SUPERMATIC,1020.0,6120.0
2021-04,Pintado 2 UNI,0517-BLACK POLYESTER ROHS,760.0,5418.8
2021-04,Pintado 2 UNI,0524-BLACK KRYSTAL KOTE,615.0,5940.9
2021-04,Pintado 2 UNI,0601-VERDE PRIMSA,5355.0,18897.9
2021-04,Pintado 2 UNI,0664-AQUA KB LAV,141.25,1709.13
2021-04,Pintado 2 UNI,0700-ARENA STD,430.0,2013.2
2021-04,Pintado 2 UNI,0730-ARENA STD USDA,600.0,3690.0
2021-04,Pintado 2 UNI,1002-CLEAR PRIMER,30.0,251.70000000000002
2021-04,Pintado 2 UNI,1005-COIL PRIMER ROHS,2255.0,17972.35
2021-04,Pintado 2 UNI,1007-BECKRYPRIM 235,25.0,153.5
2021-04,Pintado 2 UNI,1028-CLEAR BLUE EPOXY,540.0,3283.2
2021-04,Pintado 2 UNI,1031-BECKRYPRIM 235 NEGRO,205.0,1242.3
2021-04,Pintado 2 UNI,1055-CLEAR TOP LAVADORAS,89.25,812.18
2021-04,Pintado 2 UNI,1056-PRIMER LAUNDRY NCC ROHS,27.0,1278.18
2021-04,Pintado 2 UNI,1059-CLEAR BLACK INOX,155.0,1472.5
2021-04,Pintado 2 UNI,1128-BLANCO PURO G9010 ROHS,8875.0,54758.75
2021-04,Pintado 2 UNI,1129-BLANCO GRIS G9073 ROHS,985.0,6353.25
2021-04,Pintado 2 UNI,1154-BLANCO CONFAD II,69.25,881.55
2021-04,Pintado 2 UNI,1431-GRIS 356 TEXT.,830.0,6980.3
2021-04,Pintado 2 UNI,1492-GRIS KB LAV,278.5,2645.76
2021-04,Pintado 2 UNI,50 GLOSS APPLIANCE CLEAR,191.68,1092.58
2021-04,Pintado 2 UNI,BLACK PRIMER ROHS,200.0,1702.0
2021-04,Pintado 2 UNI,BLANCO 15 II MOD.,1324.75,7961.7300000000005
2021-04,Pintado 2 UNI,CHROME FREE POLYURETANE PRIMER,228.5,2742.0
2021-04,Pintado 2 UNI,CLEAR LAUNDRY BACKER,2857.725,15803.19
2021-04,Pintado 2 UNI,UNIVERSAL STEEL LIGHT,114.25,1073.95
2021-05,Pintado 1 UNI,0001-PRIMER 4457,20902.0,114751.98
2021-05,Pintado 1 UNI,0021-UNIVERSAL PRIMER,452.75,3105.88
2021-05,Pintado 1 UNI,0023-CLEAR EPOXICO P/ESPUMA,2282.75,10367.21
2021-05,Pintado 1 UNI,0025-CLEAR EPOXY (WASH COAT),129.25,473.06
2021-05,Pintado 1 UNI,0027-80 GLOSS CLEAR BACKER II,1486.0,8470.2
2021-05,Pintado 1 UNI,0028-CLEAR P/ESPUMA,4258.578,17597.8
2021-05,Pintado 1 UNI,0036-BACK PRIMER,1343.5,11245.09
2021-05,Pintado 1 UNI,0038-PRIMER 917,2117.5,13467.3
2021-05,Pintado 1 UNI,0043-PRIMARIO NEGRO 4866,334.0,2722.1
2021-05,Pintado 1 UNI,0045-PRIMARIO 4471,130.0,1179.1
2021-05,Pintado 1 UNI,0051-80 GLOSS CLEAR BACKER.,995.0,5671.5
2021-05,Pintado 1 UNI,0054-CLEAR KRYSTAL KOTE,4447.0,44025.3
2021-05,Pintado 1 UNI,0079-BECKRYPRIM 246,1920.0,10656.0
2021-05,Pintado 1 UNI,0090-PRIMER 60000,189.25,1267.98
2021-05,Pintado 1 UNI,0093-50 GLOSS CLEAR ONE PASS,164.25,2268.29
2021-05,Pintado 1 UNI,0102-BLANCO STD,11195.0,50201.95
2021-05,Pintado 1 UNI,0110-DURAPLUS BLANCO STD,195.0,1047.1499999999999
2021-05,Pintado 1 UNI,0139-NEW PRIME WHITE,2125.0,17233.75
2021-05,Pintado 1 UNI,0145-BLANCO COOL ROOF 75,215.0,1913.5
2021-05,Pintado 1 UNI,0151-BLANCO FRIO,792.0,4823.28
2021-05,Pintado 1 UNI,0153-BLANCO IMPERIAL JUV SILIC,435.0,3480.0
2021-05,Pintado 1 UNI,0173-BLANCO SM,2440.0,11712.0
2021-05,Pintado 1 UNI,0174-BLANCO STD USDA,210.0,1026.9
2021-05,Pintado 1 UNI,0209-AZUL MILITAR SILIC,204.267,2543.13
2021-05,Pintado 1 UNI,0400-GRIS FONDO,7422.0,34384.65
2021-05,Pintado 1 UNI,0404-GRIS FONDO MC,2590.0,13390.3
2021-05,Pintado 1 UNI,0405-TAUPE METALLIC,2475.0,27373.5
2021-05,Pintado 1 UNI,0407-COOL GRAY ICP,753.0,5632.4400000000005
2021-05,Pintado 1 UNI,0422-BACKER 0507 CR,4610.0,34021.8
2021-05,Pintado 1 UNI,0435-APOLLO GRAY KRYSTAL KOTE,4785.0,46749.45
2021-05,Pintado 1 UNI,0439-PRIVATE LABEL GRAY TEXT,155.0,1880.15
2021-05,Pintado 1 UNI,0440-BALTIC GRAY HVAC,1465.0,10914.25
2021-05,Pintado 1 UNI,0443-PRIVATE LABEL GRAY,3290.0,35071.4
2021-05,Pintado 1 UNI,0446-WARM DARK GRAY SMOOTH,3340.0,28991.2
2021-05,Pintado 1 UNI,0447-WARM DARK GRAY TEXT.,110.0,1018.6
2021-05,Pintado 1 UNI,0466-SLATE GRAY HVAC TEXT,465.0,4189.65
2021-05,Pintado 1 UNI,0467-WDG SMOOTH 0T,500.0,4760.0
2021-05,Pintado 1 UNI,0487-GRIS TERNIUM CR FC,403.5,16341.75
2021-05,Pintado 1 UNI,0503-NEGRO ERNA,399.75,2894.19
2021-05,Pintado 1 UNI,0521-NEGRO MM MITSUI.,767.0,4985.52
2021-05,Pintado 1 UNI,0534-BLACK TEXT KOTE,365.0,3149.95
2021-05,Pintado 1 UNI,0543-BLACK METALLIC,93.5,1201.47
2021-05,Pintado 1 UNI,0545-NEGRO MANDM,710.0,6255.1
2021-05,Pintado 1 UNI,0601-VERDE PRIMSA,6400.0,22786.0
2021-05,Pintado 1 UNI,0623-VERDE WRINKLED CR,645.0,5121.3
2021-05,Pintado 1 UNI,0672-VERDE MORISCO BB,325.0,2658.5
2021-05,Pintado 1 UNI,0700-ARENA STD,3600.0,15984.0
2021-05,Pintado 1 UNI,0718-SANDPIPER BEIGE,995.0,8178.9
2021-05,Pintado 1 UNI,0901-ROJO STD,200.0,1200.0
2021-05,Pintado 1 UNI,0936-ROJO WRINKLED CR,1315.0,10967.1
2021-05,Pintado 1 UNI,0987-DEEP RED TRINAR,427.75,16254.5
2021-05,Pintado 1 UNI,1025 - 60 GLOSS CLEAR BACKER,70.0,389.9
2021-05,Pintado 1 UNI,1027-BLACK INK PRINT,28.0,249.48
2021-05,Pintado 1 UNI,1042-BLACK STAINLESS LIKE CLR,50.0,490.0
2021-05,Pintado 1 UNI,1101-WHITE HVAC 101385,846.25,7277.75
